Participant_ID,Triad_Or_Individual,School,Team,School_Team,A_B_C,Computer_Sat_At,Block,Date,Face_Video_Offset_From_900_Seconds ,Audio_Quality,Screen_Video_Offset_From_900_Seconds ,Number_Of_Screen_Shots_Offset_From_29,Shimmer_Quality,Gaze_Calibration_Quality,Face_Offset_OK,Audio_Quality_ABC,Shimmer_Quality_ABC,Gaze_Calibration_Quality_ABC,Team_Data_Check_Complete_Y/N,Notes
CPS2-ASU-T25-PA,Triad,ASU,T25,ASU-T25,PA,A,WU,7-17-18 @ 18:00,-1,A,NaN,0,A,B,1,1,1,1,Y,ASU T25 PA Warmup: Can hear experimenter talking very briefly in beginning
CPS2-ASU-T25-PC,Triad,ASU,T25,ASU-T25,PC,C,ExpBlock1,7-17-18 @ 18:00,-2,A,-1,NaN,B,B,0,1,1,1,Y,
CPS2-ASU-T25-PC,Triad,ASU,T25,ASU-T25,PC,C,ExpBlock2,7-17-18 @ 18:00,-2,A,NaN,0,B,B,0,1,1,1,Y,
CPS2-ASU-T25-PC,Triad,ASU,T25,ASU-T25,PC,C,Transfer,7-17-18 @ 18:00,-2,A,-1,NaN,B,B,0,1,1,1,Y,
CPS2-ASU-T25-PC,Triad,ASU,T25,ASU-T25,PC,C,WU,7-17-18 @ 18:00,-2,A,-1,NaN,A,C,0,1,1,1,Y,ASU T25: PC Warmup: Experimenter says sentence at beginning; ExpBlock1: Some light murmering from other participants
CPS2-ASU-T25-PD,Triad,ASU,T25,ASU-T25,PD,B,ExpBlock1,7-17-18 @ 18:00,-2,A,NaN,0,A,B,0,1,1,1,Y,
CPS2-ASU-T25-PD,Triad,ASU,T25,ASU-T25,PD,B,ExpBlock2,7-17-18 @ 18:00,-2,A,-1,NaN,B,A,0,1,1,1,Y,
CPS2-ASU-T25-PD,Triad,ASU,T25,ASU-T25,PD,B,Transfer,7-17-18 @ 18:00,-2,A,NaN,0,A,B,0,1,1,1,Y,
CPS2-ASU-T25-PD,Triad,ASU,T25,ASU-T25,PD,B,WU,7-17-18 @ 18:00,-2,A,-1,NaN,A,B,0,1,1,1,Y,
CPS2-ASU-T32-PA,Triad,ASU,T32,ASU-T32,PA,A,ExpBlock1,8-02-18 @ 13:00,-1,A,-1,NaN,B,NaN,1,1,1,0,Y,
CPS2-ASU-T32-PA,Triad,ASU,T32,ASU-T32,PA,A,ExpBlock2,8-02-18 @ 13:00,-1,A,-1,NaN,C,NaN,1,1,1,0,Y,
CPS2-ASU-T32-PA,Triad,ASU,T32,ASU-T32,PA,A,Transfer,8-02-18 @ 13:00,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Y,
CPS2-ASU-T32-PA,Triad,ASU,T32,ASU-T32,PA,A,WU,8-02-18 @ 13:00,-1,A,NaN,0,A,NaN,1,1,1,0,Y,
CPS2-ASU-T32-PB,Triad,ASU,T32,ASU-T32,PB,B,ExpBlock1,8-02-18 @ 13:00,-1,A,NaN,0,A,NaN,1,1,1,0,Y,
CPS2-ASU-T32-PB,Triad,ASU,T32,ASU-T32,PB,B,ExpBlock2,8-02-18 @ 13:00,-1,B,-1,NaN,C,NaN,1,1,1,0,Y,
CPS2-ASU-T32-PB,Triad,ASU,T32,ASU-T32,PB,B,Transfer,8-02-18 @ 13:00,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Y,
CPS2-ASU-T32-PB,Triad,ASU,T32,ASU-T32,PB,B,WU,8-02-18 @ 13:00,-1,A,-1,NaN,A,NaN,1,1,1,0,Y,
CPS2-ASU-T32-PC,Triad,ASU,T32,ASU-T32,PC,C,ExpBlock1,8-02-18 @ 13:00,-1,A,-1,NaN,A,NaN,1,1,1,0,Y,
CPS2-ASU-T32-PC,Triad,ASU,T32,ASU-T32,PC,C,ExpBlock2,8-02-18 @ 13:00,-1,B,NaN,0,A,NaN,1,1,1,0,Y,
CPS2-ASU-T32-PC,Triad,ASU,T32,ASU-T32,PC,C,Transfer,8-02-18 @ 13:00,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Y,
CPS2-ASU-T32-PC,Triad,ASU,T32,ASU-T32,PC,C,WU,8-02-18 @ 13:00,-1,B,-1,NaN,A,NaN,1,1,1,0,Y,
CPS2-ASU-T34-PA,Triad,ASU,T34,ASU-T34,PA,A,ExpBlock1,9-6-18 @ 15:00,-1,C,-1,NaN,A,B,1,1,1,1,Y,"I can hear complete sentences from other participants, sounds like it's picking up from the room rather than the mics"
CPS2-ASU-T34-PA,Triad,ASU,T34,ASU-T34,PA,A,ExpBlock2,9-6-18 @ 15:00,-1,C,-1,NaN,NaN,B,1,1,0,1,Y,"I can hear complete sentences from other participants, sounds like it's picking up from the room rather than the mics"
CPS2-ASU-T34-PA,Triad,ASU,T34,ASU-T34,PA,A,Transfer,9-6-18 @ 15:00,-1,C,-1,NaN,NaN,B,1,1,0,1,Y,"I can hear complete sentences from other participants, sounds like it's picking up from the room rather than the mics"
CPS2-ASU-T34-PA,Triad,ASU,T34,ASU-T34,PA,A,WU,9-6-18 @ 15:00,1,C,NaN,0,A,B,1,1,1,1,Y,"I can hear complete sentences from other participants, sounds like it's picking up from the room rather than the mics"
CPS2-ASU-T34-PB,Triad,ASU,T34,ASU-T34,PB,B,ExpBlock1,9-6-18 @ 15:00,-1,A,NaN,0,B,F,1,1,1,0,Y,
CPS2-ASU-T34-PB,Triad,ASU,T34,ASU-T34,PB,B,ExpBlock2,9-6-18 @ 15:00,-1,A,-1,NaN,C,C,1,1,1,1,Y,
CPS2-ASU-T34-PB,Triad,ASU,T34,ASU-T34,PB,B,Transfer,9-6-18 @ 15:00,-1,A,NaN,0,C,C,1,1,1,1,Y,
CPS2-ASU-T34-PB,Triad,ASU,T34,ASU-T34,PB,B,WU,9-6-18 @ 15:00,-1,A,-1,NaN,B,C,1,1,1,1,Y,
CPS2-ASU-T34-PC,Triad,ASU,T34,ASU-T34,PC,C,ExpBlock1,9-6-18 @ 15:00,-1,B,-1,NaN,F,C,1,1,0,1,Y,"Finger cusp used, no more electrodes were available"
CPS2-ASU-T34-PC,Triad,ASU,T34,ASU-T34,PC,C,ExpBlock2,9-6-18 @ 15:00,-1,A,NaN,0,F,C,1,1,0,1,Y,"Finger cusp used, no more electrodes were available"
CPS2-ASU-T34-PC,Triad,ASU,T34,ASU-T34,PC,C,Transfer,9-6-18 @ 15:00,-1,B,-1,NaN,F,C,1,1,0,1,Y,"Finger cusp used, no more electrodes were available"
CPS2-ASU-T34-PC,Triad,ASU,T34,ASU-T34,PC,C,WU,9-6-18 @ 15:00,-1,A,-1,NaN,F,C,1,1,0,1,Y,"Finger cusp used, no more electrodes were available"
CPS2-ASU-T35-PA,Triad,ASU,T35,ASU-T35,PA,A,ExpBlock1,9-11-18 @ 12:00,-1,C,-1,NaN,B,B,1,1,1,1,Y,
CPS2-ASU-T35-PA,Triad,ASU,T35,ASU-T35,PA,A,ExpBlock2,9-11-18 @ 12:00,-1,C,-1,NaN,A,A,1,1,1,1,Y,
CPS2-ASU-T35-PA,Triad,ASU,T35,ASU-T35,PA,A,Transfer,9-11-18 @ 12:00,-1,C,-1,NaN,B,B,1,1,1,1,Y,
CPS2-ASU-T35-PA,Triad,ASU,T35,ASU-T35,PA,A,WU,9-11-18 @ 12:00,-1,C,NaN,0,A,C,1,1,1,1,Y,
CPS2-ASU-T35-PC,Triad,ASU,T35,ASU-T35,PC,C,ExpBlock1,9-11-18 @ 12:00,-1,A,-1,NaN,C,C,1,1,1,1,Y,
CPS2-ASU-T35-PC,Triad,ASU,T35,ASU-T35,PC,C,ExpBlock2,9-11-18 @ 12:00,-1,A,NaN,0,B,B,1,1,1,1,Y,
CPS2-ASU-T35-PC,Triad,ASU,T35,ASU-T35,PC,C,Transfer,9-11-18 @ 12:00,-1,A,NaN,0,C,A,1,1,1,1,Y,
CPS2-ASU-T35-PC,Triad,ASU,T35,ASU-T35,PC,C,WU,9-11-18 @ 12:00,-1,A,-1,NaN,B,B,1,1,1,1,Y,
